"","drinks.idDrink","drinks.strDrink","drinks.strCategory","drinks.strAlcoholic","drinks.strGlass","drinks.strInstructions","drinks.strDrinkThumb","drinks.strIngredient1","drinks.strIngredient2","drinks.strIngredient3","drinks.strIngredient4","drinks.strIngredient5","drinks.strIngredient6","drinks.strIngredient7","drinks.strIngredient8","drinks.strIngredient9","drinks.strIngredient10","drinks.strIngredient11","drinks.strIngredient12","drinks.strIngredient13","drinks.strIngredient14","drinks.strIngredient15","drinks.strMeasure1","drinks.strMeasure2","drinks.strMeasure3","drinks.strMeasure4","drinks.strMeasure5","drinks.strMeasure6","drinks.strMeasure7","drinks.strMeasure8","drinks.strMeasure9","drinks.strMeasure10","drinks.strMeasure11","drinks.strMeasure12","drinks.strMeasure13","drinks.strMeasure14","drinks.strMeasure15","drinks.dateModified"
"1","11000","A Furlong Too Late","Ordinary Drink","Alcoholic","Highball glass","Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.",NA,"Light rum","Ginger beer","Lemon peel","","","","","","","","","","","","","2 oz ","4 oz ","1 twist of "," "," "," "," "," ","","","","","","","",NA
"2","11001","A Night In Old Mandalay","Ordinary Drink","Alcoholic","Highball glass","In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist.",NA,"Light rum","Añejo rum","Orange juice","Lemon juice","Ginger ale","Lemon peel","","","","","","","","","","1 oz ","1 oz ","1 oz ","1/2 oz ","3 oz ","1 twist of "," "," "," "," "," ","","","","",NA
"3","11002","A. J.","Ordinary Drink","Alcoholic","Cocktail glass","Shake ingredients with ice, strain into a cocktail glass, and serve.",NA,"Applejack","Grapefruit juice","","","","","","","","","","","","","","1 1/2 oz ","1 oz "," "," "," "," "," ","","","","","","","","",NA
"4","11003","Abbey Cocktail","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.",NA,"Gin","Orange bitters","Orange","Cherry","","","","","","","","","","","","1 1/2 oz ","1 dash ","Juice of 1/4 ","1 "," "," "," "," "," ","","","","","","",NA
"5","11004","Abilene","Ordinary Drink","Alcoholic","Highball glass","Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.",NA,"Dark rum","Peach nectar","Orange juice","","","","","","","","","","","","","1 1/2 oz ","2 oz ","3 oz "," "," "," "," "," ","","","","","","","",NA
"6","11005","Acapulco","Ordinary Drink","Alcoholic","Old-fashioned glass","Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.",NA,"Light rum","Triple sec","Lime juice","Sugar","Egg white","Mint","","","","","","","","","","1 1/2 oz ","1 1/2 tsp ","1 tblsp ","1 tsp ","1 ","1 "," "," "," "," "," ","","","","",NA
"7","11006","Adam","Ordinary Drink","Alcoholic","Cocktail glass","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",NA,"Dark rum","Lemon juice","Grenadine","","","","","","","","","","","","","2 oz ","1 oz ","1 tsp "," "," "," "," "," ","","","","","","","",NA
"8","11007","Adonis Cocktail","Ordinary Drink","Alcoholic","Cocktail glass","Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",NA,"Sweet Vermouth","Sherry","Orange bitters","","","","","","","","","","","","","3/4 oz ","1 1/2 oz dry ","1 dash "," "," "," "," "," ","","","","","","","",NA
"9","11008","Affair","Ordinary Drink","Alcoholic","Highball glass","Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",NA,"Strawberry schnapps","Orange juice","Cranberry juice","Club soda","","","","","","","","","","","","2 oz ","2 oz ","2 oz ","
","
","
","
","
","
","","","","","","",NA
"10","11009","Affinity","Ordinary Drink","Alcoholic","Cocktail glass","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",NA,"Scotch","Sweet Vermouth","Dry Vermouth","Orange bitters","","","","","","","","","","","","1 1/2 oz ","1 oz ","1 oz ","2 dashes "," "," "," "," "," ","","","","","","",NA
"11","11010","After Dinner Cocktail","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients (except lime wedge) with ice and strain into a cocktail glass. Add the wedge of lime and serve.",NA,"Apricot brandy","Triple sec","Lime","Lime","","","","","","","","","","","","1 oz ","1 oz ","Juice of 1 ","1 "," "," "," "," "," ","","","","","","",NA
"12","11011","After Supper Cocktail","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Triple sec","Apricot brandy","Lemon juice","","","","","","","","","","","","","1 oz ","1 oz ","1/2 tsp "," "," "," "," "," ","","","","","","","",NA
"13","11012","Alabama Slammer","Ordinary Drink","Alcoholic","Highball glass","Pour all ingredients (except for lemon juice) over ice in a highball glass. Stir, add a dash of lemon juice, and serve.",NA,"Southern Comfort","Amaretto","Sloe gin","Lemon juice","","","","","","","","","","","","1 oz ","1 oz ","1/2 oz ","1 dash "," "," "," "," "," ","","","","","","",NA
"14","11013","Alaska Cocktail","Ordinary Drink","Alcoholic","Cocktail glass","Stir all ingredients with ice, strain contents into a cocktail glass. Drop in a twist of lemon and serve.",NA,"Orange bitters","Gin","Yellow Chartreuse","Lemon peel","","","","","","","","","","","","2 dashes ","1 1/2 oz ","3/4 oz ","Twist of "," "," "," "," "," ","","","","","","",NA
"15","11014","Alexander","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients (except nutmeg) with ice and strain into a cocktail glass. Sprinkle nutmeg on top and serve.",NA,"Gin","Creme de Cacao","Light cream","Nutmeg","","","","","","","","","","","","1/2 oz ","1/2 oz white ","2 oz ","
","
","
","
","
","
","","","","","","",NA
"16","11015","Alexander #2","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients (except nutmeg) with ice and strain into a cocktail glass. Sprinkle nutmeg on top and serve.",NA,"Gin","Creme de Cacao","Light cream","Nutmeg","","","","","","","","","","","","1 oz ","1 oz white ","1 oz ","
","
","
","
","
","
","","","","","","",NA
"17","11016","Brandy Alexander","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients (except nutmeg) with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.",NA,"Brandy","Creme de Cacao","Light cream","Nutmeg","","","","","","","","","","","","1 oz ","1 oz white ","1 oz ","
","
","
","
","
","
","","","","","","",NA
"18","11017","Alexander's Big Brother","Ordinary Drink","Alcoholic","Cocktail glass","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",NA,"Gin","Blue Curacao","Heavy cream","","","","","","","","","","","","","2 oz ","1/2 oz ","1/2 oz "," "," "," "," "," ","","","","","","","",NA
